Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1464818239.1046522,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.1492453,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.2022893,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.2521167,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818239.3047364,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.349383,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.4022348,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.4521086,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818239.5047557,0.006599987790267909,0.0,0.0,0.0,0.0,0.0
1464818239.5495572,0.006599987790267909,0.0,0.0,0.0,0.0,0.0
1464818239.6023197,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.651982,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818239.7047253,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.7492332,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818239.802278,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818239.8521838,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.904788,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.9492798,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.0022995,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.0533936,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818240.1047435,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.149272,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.2024112,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.2520812,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.304723,0.017599987785145637,0.0,0.0,0.0,0.0,0.0
1464818240.349396,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.4024804,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818240.4519715,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.5048122,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.5492492,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.6022716,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.6520731,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.7047489,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.7493494,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.8024158,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.852025,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818240.9048343,0.0,0.0,0.0,0.0,0.0,0.0
1464818240.9494545,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.0024552,0.021999999989755454,0.0,0.0,0.0,0.0,0.0
1464818241.0521216,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.1049473,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.1496298,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.202298,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818241.2522876,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.3047915,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.349548,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.4025187,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.4521604,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.5047014,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.5494137,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818241.6023216,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.6522315,0.010999999994877727,0.0,0.0,0.0,0.0,0.0
1464818241.7047162,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.7493165,0.0,0.0,0.0,0.0,0.0,0.0
1464818241.802404,0.017599987785145637,0.0,0.0,0.0,0.0,0.0
1464818241.852162,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818241.9049292,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818241.94953,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.0031419,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.0522015,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.1047318,0.0,0.0,0.0,0.0,0.0,0.0
1464818242.1492848,0.0,0.0,0.0,0.0,0.0,0.0
